epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.037,0.9435,3.62783,1.32985,0.02031,0.98639,0.22592,0.17994,0.65396,3.72042,1.0036,0.00017255,0.00017255,0.00017255
2,797.201,0.93795,2.75732,1.32849,0.67472,0.34483,0.52494,0.3965,0.83455,2.73855,1.13762,0.000336403,0.000336403,0.000336403
3,1204.33,0.96254,2.38198,1.33354,0.58414,0.4127,0.50452,0.41869,0.81921,2.5556,1.18808,0.000488685,0.000488685,0.000488685
4,1617.6,1.01086,2.22472,1.3605,0.54162,0.71885,0.66073,0.54731,0.8901,2.36568,1.25101,0.000473926,0.000473926,0.000473926
5,2027.27,0.96941,2.03323,1.31925,0.58241,0.66178,0.65872,0.55504,0.82897,2.20858,1.12902,0.000456568,0.000456568,0.000456568
6,2436.9,0.9494,1.94233,1.29566,0.5341,0.78142,0.75112,0.59615,0.79801,1.9679,1.14389,0.00043921,0.00043921,0.00043921
7,2824.8,0.9199,1.78143,1.29103,0.50685,0.61431,0.73322,0.58107,0.81512,2.04199,1.12106,0.000421852,0.000421852,0.000421852
8,3231.81,0.89855,1.68812,1.2677,0.55424,0.81207,0.80819,0.67093,0.81292,1.81173,1.14105,0.000404494,0.000404494,0.000404494
9,3624.34,0.86801,1.57586,1.24968,0.53188,0.82058,0.82588,0.67482,0.68896,1.82135,1.04084,0.000387136,0.000387136,0.000387136
10,4016.16,0.86994,1.52287,1.25073,0.59389,0.86677,0.81395,0.7059,0.65084,1.68046,1.0082,0.000369778,0.000369778,0.000369778
11,4416.95,0.84439,1.44961,1.22321,0.80571,0.79152,0.89659,0.76522,0.74524,1.41891,1.04725,0.00035242,0.00035242,0.00035242
12,4806.36,0.8211,1.36186,1.21026,0.70963,0.67716,0.82228,0.70278,0.73611,1.68007,1.03497,0.000335062,0.000335062,0.000335062
13,5188.84,0.81836,1.34397,1.20607,0.69579,0.84318,0.88188,0.74511,0.74101,1.49377,1.08226,0.000317704,0.000317704,0.000317704
14,5572.32,0.78503,1.25167,1.17731,0.70297,0.79223,0.85142,0.73156,0.74847,1.39782,1.06094,0.000300346,0.000300346,0.000300346
15,5958.91,0.78865,1.18262,1.17949,0.79752,0.78075,0.86443,0.74677,0.68749,1.45217,1.0298,0.000282988,0.000282988,0.000282988
16,6344.24,0.78875,1.17431,1.17042,0.76823,0.79451,0.87552,0.73372,0.68826,1.34109,1.02459,0.00026563,0.00026563,0.00026563
17,6728.44,0.77156,1.12635,1.16993,0.79476,0.8395,0.89612,0.76109,0.67478,1.0987,0.97957,0.000248272,0.000248272,0.000248272
18,7106.8,0.77212,1.10571,1.16927,0.82896,0.84553,0.91005,0.78156,0.73377,1.26518,1.05901,0.000230914,0.000230914,0.000230914
19,7490.01,0.73766,1.02547,1.13999,0.70091,0.92565,0.9039,0.75357,0.77686,1.19665,1.08693,0.000213556,0.000213556,0.000213556
20,7875.1,0.73845,1.03294,1.14863,0.65137,0.83858,0.86971,0.74481,0.68895,1.18393,0.98942,0.000196198,0.000196198,0.000196198
21,8246.75,0.63588,1.07646,1.10724,0.84555,0.80363,0.91495,0.78781,0.72814,1.09848,1.03211,0.00017884,0.00017884,0.00017884
22,8625.17,0.59782,0.9446,1.08047,0.67532,0.85409,0.89037,0.75448,0.73831,1.25707,1.05124,0.000161482,0.000161482,0.000161482
23,8995.19,0.57577,0.90613,1.06502,0.88127,0.81667,0.91895,0.78831,0.69179,1.01121,1.0138,0.000144124,0.000144124,0.000144124
24,9366.96,0.57188,0.86118,1.05569,0.89259,0.78935,0.90351,0.78395,0.69561,1.11316,0.98987,0.000126766,0.000126766,0.000126766
25,9742.32,0.5558,0.82737,1.04521,0.86159,0.87981,0.93938,0.82439,0.68619,1.02304,0.99731,0.000109408,0.000109408,0.000109408
26,10129.3,0.54313,0.80827,1.03279,0.89156,0.79999,0.93219,0.80403,0.70656,1.10339,1.01214,9.205e-05,9.205e-05,9.205e-05
27,10517.8,0.53405,0.77512,1.0297,0.90035,0.84185,0.93172,0.81796,0.66716,1.00481,0.9821,7.4692e-05,7.4692e-05,7.4692e-05
28,10913,0.52065,0.75327,1.01435,0.87234,0.83132,0.93214,0.81507,0.6954,1.03912,1.00173,5.7334e-05,5.7334e-05,5.7334e-05
29,11300.7,0.50788,0.72913,1.00909,0.89626,0.81949,0.91973,0.80713,0.68072,1.01714,0.99189,3.9976e-05,3.9976e-05,3.9976e-05
30,11691.7,0.50196,0.72569,1.00678,0.8409,0.86656,0.93021,0.81407,0.6854,0.99812,0.9928,2.2618e-05,2.2618e-05,2.2618e-05
